title,publication_date,product_name,company_in_the_list,company_name_variants,multiple_nationality,main_country,no_total_authors,no_author_with_any_coi,coi_employment,coi_advisory_consulting,coi_speakers_bureau,coi_honoraria,first_author_coi_all,last_author_coi_all,coi_employment_first_author,coi_employment_last_author,coi_advisory_first_author,coi_advisory_last_author,coi_speakers_first_author,coi_speakers_last_author,coi_honoraria_first_author,coi_honoraria_last_author
"Naldemedine for Opioid-Induced Constipation in Patients With Cancer: A Multicenter, Double-Blind, Randomized, Placebo-Controlled Trial",2024-12-10,naldemedine,True,['Shionogi'],0,Japan,26,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"Imlunestrant, an Oral Selective Estrogen Receptor Degrader, as Monotherapy and in Combination With Targeted Therapy in Estrogen Receptorâ€“Positive, Human Epidermal Growth Factor Receptor 2â€“Negative Advanced Breast Cancer: Phase Ia/Ib EMBER Study",2024-12-10,imlunestrant,True,"['Eli Lilly/Loxo Oncology', 'Loxo@Lilly | Eli Lilly and Company', 'Lilly', 'Loxo/Lilly', 'Eli Lilly Kinsale Limited', 'Lilly Japan']",1,USA,38,31,7,12,4,3,1,1,0,0,1,0,0,0,0,0
"First Results of NURE-Combo: A Phase II Study of Neoadjuvant Nivolumab and Nab-Paclitaxel, Followed by Postsurgical Adjuvant Nivolumab, for Muscle-Invasive Bladder Cancer",2024-12-10,nivolumab,True,['Bristol Myers Squibb'],0,Italy,23,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
Radiotherapy Versus Transoral Robotic Surgery for Oropharyngeal Squamous Cell Carcinoma: Final Results of the ORATOR Randomized Trial,2024-12-01,,False,[],0,Canada,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effect of Adding Electroacupuncture to Standard Triple Antiemetic Therapy on Chemotherapy-Induced Nausea and Vomiting: A Randomized Controlled Clinical Trial,2024-12-01,,False,[],0,China,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bladder-Preserving Trimodality Treatment for High-Grade T1 Bladder Cancer: Results From Phase II Protocol NRG Oncology/RTOG 0926,2024-12-01,,False,[],0,USA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase III KEYNOTE-789 Study of Pemetrexed and Platinum With or Without Pembrolizumab for Tyrosine Kinase Inhibitorâ€’Resistant, EGFRâ€“Mutant, Metastatic Nonsquamous Nonâ€“Small Cell Lung Cancer",2024-12-01,pembrolizumab,True,"['MSD', 'MSD Oncology', 'Merck Sharp & Dohme']",1,Taiwan,22,12,1,6,3,3,1,0,0,0,1,0,0,0,1,0
"US Food and Drug Administration Approval Summary: Capivasertib With Fulvestrant for Hormone Receptorâ€“Positive, Human Epidermal Growth Factor Receptor 2â€“Negative Locally Advanced or Metastatic Breast Cancer With PIK3CA/AKT1/PTEN Alterations",2024-12-01,capivasertib,False,[],0,USA,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omission of Radiotherapy in Primary Mediastinal B-Cell Lymphoma: IELSG37 Trial Results,2024-12-01,,False,[],1,Italy,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oral Cannabis Extract for Secondary Prevention of Chemotherapy-Induced Nausea and Vomiting: Final Results of a Randomized, Placebo-Controlled, Phase II/III Trial",2024-12-01,THC:CBD,False,[],0,Australia,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primary Results of NRG-RTOG1106/ECOG-ACRIN 6697: A Randomized Phase II Trial of Individualized Adaptive (chemo)Radiotherapy Using Midtreatment 18F-Fluorodeoxyglucose Positron Emission Tomography/Computed Tomography in Stage III Nonâ€“Small Cell Lung Cancer,2024-11-20,18F-fluorodeoxyglucose (FDG),False,[],1,China,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Final Overall Survival Analysis of S1500: A Randomized, Phase II Study Comparing Sunitinib With Cabozantinib, Crizotinib, and Savolitinib in Advanced Papillary Renal Cell Carcinoma",2024-11-20,cabozantinib,True,['Exelixis'],0,USA,23,10,0,8,2,1,1,1,0,0,1,0,0,0,0,0
"Phase I/Ib Trial of Inavolisib Plus Palbociclib and Endocrine Therapy for PIK3CA-Mutated, Hormone Receptorâ€“Positive, Human Epidermal Growth Factor Receptor 2â€“Negative Advanced or Metastatic Breast Cancer",2024-11-20,inavolisib,True,"['Roche/Genentech', 'Genentech/Roche', 'Genentech']",1,USA,23,20,8,6,0,1,1,1,0,0,1,1,0,0,0,0
Extent of Lymphadenectomy for Surgical Management of Right-Sided Colon Cancer: The Randomized Phase III RELARC Trial,2024-11-20,,False,[],0,China,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxaliplatin Added to Fluoropyrimidine/Bevacizumab as Initial Therapy for Unresectable Metastatic Colorectal Cancer in Older Patients: A Multicenter, Randomized, Open-Label Phase III Trial (JCOG1018)",2024-11-20,bevacizumab,True,"['Chugai/Roche', 'Chugai Pharma']",0,Japan,21,11,0,0,1,8,1,0,0,0,0,0,0,0,1,0
A Multicenter Phase II Trial of Ruxolitinib for Treatment of Corticosteroid Refractory Sclerotic Chronic Graft-Versus-Host Disease,2024-11-20,ruxolitinib,True,['Incyte'],0,USA,11,4,0,4,0,0,1,1,0,0,1,1,0,0,0,0
Long-Term Follow-Up of the Prospective Randomized AATT Study (Autologous or Allogeneic Transplantation in Patients With Peripheral T-Cell Lymphoma),2024-11-10,,False,[],1,France,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Addition of Metastasis-Directed Therapy to Systemic Therapy for Oligometastatic Pancreatic Ductal Adenocarcinoma (EXTEND): A Multicenter, Randomized Phase II Trial",2024-11-10,,False,[],0,USA,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trastuzumab Deruxtecan in Advanced Solid Tumors With Human Epidermal Growth Factor Receptor 2 Amplification Identified by Plasma Cell-Free DNA Testing: A Multicenter, Single-Arm, Phase II Basket Trial",2024-11-10,trastuzumab deruxtecan,True,"['Daiichi Sankyo Company', 'Daiichi Sankyo', 'Daiichi Sankyo/UCB Japan', 'Daiichi Sankyo Co']",0,Japan,21,12,0,2,2,6,1,1,0,0,0,1,0,1,1,0
Adjuvant Pertuzumab and Trastuzumab in Early Human Epidermal Growth Factor Receptor 2â€“Positive Breast Cancer in the APHINITY Trial: Third Interim Overall Survival Analysis With Efficacy Update,2024-11-01,pertuzumab,True,"['Roche/Genentech', 'Genentech', 'Roche', 'F. Hoffmann-La Roche Ltd (support for third-party writing assistance)']",1,Germany,25,21,3,8,4,5,1,1,0,0,1,1,1,0,0,0
Outcomes With Postrecurrence Systemic Therapy Following Adjuvant Checkpoint Inhibitor Treatment for Resected Melanoma in CheckMate 238,2024-11-01,nivolumab,True,"['Bristol Myers Squibb/Pfizer', 'Bristol Myers Squibb', 'Bristol Myers Squibb/Roche', 'Bristol Myers Squibb/Medarex', 'Bristol Myers Squibb/Sanofi', 'Bristol Myers Squibb/Celgene']",1,USA,26,24,2,16,2,8,1,1,0,0,1,1,0,0,1,1
"Devimistat (CPI-613) With Modified Fluorouarcil, Oxaliplatin, Irinotecan, and Leucovorin (FFX) Versus FFX for Patients With Metastatic Adenocarcinoma of the Pancreas: The Phase III AVENGER 500 Study",2024-11-01,devimistat,True,['Rafael Pharmaceuticals'],1,USA,21,10,1,3,0,1,1,0,0,0,0,0,0,0,1,0
"Vebreltinib for Advanced Nonâ€“Small Cell Lung Cancer Harboring c-Met Exon 14 Skipping Mutation: A Multicenter, Single-Arm, Phase II KUNPENG Study",2024-11-01,vebreltinib,True,['Beijing Pearl Biotechnology Co'],0,China,23,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Open-Label, Multicenter, Phase I/II, First-in-Human Trial of TK216: A First-Generation EWS::FLI1 Fusion Protein Antagonist in Ewing Sarcoma",2024-11-01,TK216,True,['Oncternal Therapeutics'],0,USA,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Adjuvant Trastuzumab Emtansine Versus Paclitaxel Plus Trastuzumab for Stage I Human Epidermal Growth Factor Receptor 2â€“Positive Breast Cancer: 5-Year Results and Correlative Analyses From ATEMPT,2024-11-01,trastuzumab emtansine (T-DM1),True,"['Hoffmann-La Roche AG/Genentech', 'Genentech', 'Roche/Genentech', 'ROCHE/Genentech', 'Genentech/Roche', 'Roche']",1,USA,51,21,0,9,2,2,1,1,0,0,1,1,0,0,0,0
Menopausal Hormone Therapy and Ovarian and Endometrial Cancers: Long-Term Follow-Up of the Women's Health Initiative Randomized Trials,2024-10-20,conjugated equine estrogen,False,"['release and nanoscale heat treatment of cancerous cellsâ€""]), (']",0,USA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randomized Controlled Trial of a Nurse-Led Brief Behavioral Intervention for Dyspnea in Patients With Advanced Lung Cancer,2024-10-20,,False,[],0,USA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utility of the 70-Gene MammaPrint Assay for Prediction of Benefit From Extended Letrozole Therapy in the NRG Oncology/NSABP B-42 Trial,2024-10-20,MammaPrint,True,['Agendia'],1,USA,18,5,4,1,0,0,0,1,0,1,0,0,0,0,0,0
Estrogen Plus Progestin and Colorectal Cancer: Long-Term Findings From the Women's Health Initiative Randomized Clinical Trial,2024-10-20,conjugated equine estrogen (CEE) plus medroxyprogesterone acetate (MPA),True,['Pfizer'],0,USA,12,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Subcutaneous Versus Intravenous Amivantamab, Both in Combination With Lazertinib, in Refractory Epidermal Growth Factor Receptorâ€“Mutated Nonâ€“Small Cell Lung Cancer: Primary Results From the Phase III PALOMA-3 Study",2024-10-20,amivantamab,True,"['Johnson and Johnson', 'Johnson & Johnson', 'Jonhson and Johnson', 'Johnson & Johnson/Janssen']",1,Canada,49,14,9,3,1,1,0,1,0,0,0,1,0,1,0,0
Results From First-in-Human Phase I Dose-Escalation Study of a Novel Bicycle Toxin Conjugate Targeting EphA2 (BT5528) in Patients With Advanced Solid Tumors,2024-10-10,BT5528,True,['Bicycle Therapeutics'],1,USA,19,13,7,1,0,0,1,1,0,0,0,0,0,0,0,0
Sustained Clinical Benefit and Intracranial Activity of Tarlatamab in Previously Treated Small Cell Lung Cancer: DeLLphi-300 Trial Update,2024-10-10,tarlatamab,False,[],1,USA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TROPHY-U-01 Cohort 2: A Phase II Study of Sacituzumab Govitecan in Cisplatin-Ineligible Patients With Metastatic Urothelial Cancer Progressing After Previous Checkpoint Inhibitor Therapy,2024-10-10,Sacituzumab govitecan,True,"['Gilead Sciences', 'Patent Royalty from Immunomedics/Gilead']",0,USA,19,15,3,7,2,1,1,1,0,0,1,1,0,0,0,0
Efficacy and Safety of Sacituzumab Govitecan in Patients With Advanced Solid Tumors (TROPiCS-03): Analysis in Patients With Advanced Endometrial Cancer,2024-10-10,sacituzumab govitecan,True,"['Immunomedics', 'Immunomedics/Gilead', 'Gilead Sciences']",0,USA,12,8,3,0,0,0,1,1,0,0,0,0,0,0,0,0
Evaluation of CD3 and CD8 T-Cell Immunohistochemistry for Prognostication and Prediction of Benefit From Adjuvant Chemotherapy in Early-Stage Colorectal Cancer Within the QUASAR Trial,2024-10-10,fluorouracil,False,[],0,United Kingdom,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Safety, Efficacy, and Pharmacokinetics of SHR-A1811, a Human Epidermal Growth Factor Receptor 2â€“Directed Antibody-Drug Conjugate, in Human Epidermal Growth Factor Receptor 2â€“Expressing or Mutated Advanced Solid Tumors: A Global Phase I Trial",2024-10-10,SHR-A1811,True,"['Hengrui Pharmaceutical', 'Jiangsu Hengrui Pharmaceuticals']",1,China,33,5,4,0,0,0,0,1,0,1,0,0,0,0,0,0
Lorlatinib Versus Crizotinib in Patients With Advanced ALK-Positive Nonâ€“Small Cell Lung Cancer: 5-Year Outcomes From the Phase III CROWN Study,2024-10-10,Lorlatinib,True,['Pfizer'],1,Australia,18,17,7,8,2,5,1,1,0,0,1,1,0,0,1,0
Personalized Chemotherapy on the Basis of Tumor Marker Decline in Poor-Prognosis Germ-Cell Tumors: Updated Analysis of the GETUG-13 Phase III Trial,2024-10-01,"bleomycin, etoposide, cisplatin (BEP)",False,[],1,France,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longitudinal Health-Related Quality of Life Among Patients With High-Risk Pediatric Hodgkin Lymphoma Treated on the Children's Oncology Group AHOD 1331 Study,2024-10-01,brentuximab vedotin,True,['Seagen'],0,USA,9,4,0,2,0,0,1,1,0,0,0,1,0,0,0,0
Randomized Phase II Trial of Immunotherapy-Based Total Neoadjuvant Therapy for Proficient Mismatch Repair or Microsatellite Stable Locally Advanced Rectal Cancer (TORCH),2024-10-01,toripalimab,False,[],0,China,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trastuzumab Deruxtecan in Human Epidermal Growth Factor Receptor 2â€“Expressing Biliary Tract Cancer (HERB; NCCH1805): A Multicenter, Single-Arm, Phase II Trial",2024-09-20,trastuzumab deruxtecan,True,"['Daiichi Sankyo RD Novare', 'Daiichi Sankyo Company', 'Daiichi Sankyo', 'Daiichi Sankyo/UCB Japan', 'Daiichi Sankyo Co']",0,Japan,20,11,0,2,1,6,0,1,0,0,0,0,0,0,0,1
"Bevacizumab Erlotinib Switch Maintenance in Chemo-Responsive Advanced Gallbladder and Cholangiocarcinoma (BEER BTC): A Multicenter, Open-Label, Randomized, Phase II Trial",2024-09-20,bevacizumab,False,[],0,India,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durability of Response With Selpercatinib in Patients With RET-Activated Thyroid Cancer: Long-Term Safety and Efficacy From LIBRETTO-001,2024-09-20,selpercatinib,True,"['Loxo', 'Lilly', 'LOXO', 'Loxo/Lilly', 'Loxo/Bayer/Lilly']",1,USA,17,15,4,11,1,3,1,1,0,0,1,0,0,0,0,0
Pertuzumab Plus Trastuzumab in Patients With Biliary Tract Cancer With ERBB2/3 Alterations: Results From the Targeted Agent and Profiling Utilization Registry Study,2024-09-20,pertuzumab-trastuzumab,True,['Genentech/Roche'],0,USA,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Neoadjuvant Osimertinib for the Treatment of Stage I-IIIA Epidermal Growth Factor Receptorâ€“Mutated Nonâ€“Small Cell Lung Cancer: A Phase II Multicenter Study,2024-09-10,osimertinib,True,"['AstraZeneca/MedImmune', 'AstraZeneca', 'Daiichi Sankyo/Astra Zeneca']",0,USA,24,8,0,4,0,4,1,0,0,0,0,0,0,0,0,0
Tailored Dose-Dense Versus Standard Adjuvant Chemotherapy for High-Risk Early Breast Cancer: End-of-Study Results of the Randomized PANTHER Trial,2024-09-10,docetaxel,True,"['Sanofi', 'Sanofi Aventis GmbH']",1,Sweden,17,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Dendritic Cellâ€“Based Immunotherapy in Patients With Resected Pancreatic Cancer,2024-09-10,autologous dendritic cell-based immunotherapy,True,['Amphera'],0,the Netherlands,15,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0
Scalp Cooling in Preventing Persistent Chemotherapy-Induced Alopecia: A Randomized Controlled Trial,2024-09-10,scalp cooling,True,['Nokwon Medical'],0,Republic of Korea,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Nanoliposomal Irinotecan With Fluorouracil and Leucovorin or Gemcitabine Plus Cisplatin in Advanced Cholangiocarcinoma: A Phase II Study of the AIO Hepatobiliary-YMO Cancer Groups (NIFE-AIO-YMO HEP-0315),2024-09-10,nal-IRI/FU/LV,True,['Servier'],0,Germany,25,6,0,5,1,2,1,1,0,0,1,1,0,0,0,0
Pembrolizumab Plus Carboplatin and Paclitaxel as First-Line Therapy for Recurrent/Metastatic Head and Neck Squamous Cell Carcinoma (KEYNOTE-B10): A Single-Arm Phase IV Trial,2024-09-01,pembrolizumab,True,"['Merck', 'MSD', 'Merck Serono', 'Merck Sharp & Dohme']",1,Australia,22,11,4,7,3,3,1,1,0,0,1,1,0,1,1,1
"Neoadjuvant Docetaxel, Oxaliplatin, and S-1 Plus Surgery and Adjuvant S-1 for Resectable Advanced Gastric Cancer: Updated Overall Survival Outcomes From Phase III PRODIGY",2024-09-01,S-1,True,['Taiho Pharmaceutical'],0,Republic of Korea,35,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Final Results From a Phase I Trial and Expansion Cohorts of Cabozantinib and Nivolumab Alone or With Ipilimumab for Advanced/Metastatic Genitourinary Tumors,2024-09-01,cabozantinib,True,['Exelixis'],0,USA,40,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Telisotuzumab Vedotin Monotherapy in Patients With Previously Treated c-Met Proteinâ€“Overexpressing Advanced Nonsquamous EGFR-Wildtype Nonâ€“Small Cell Lung Cancer in the Phase II LUMINOSITY Trial,2024-09-01,Telisotuzumab vedotin,True,['Seagen'],1,USA,33,3,0,2,0,1,1,0,0,0,0,0,0,0,1,0
"Phase III Randomized, Placebo-Controlled Trial of Endocrine Therapy Â± 1 Year of Everolimus in Patients With High-Risk, Hormone Receptorâ€“Positive, Early-Stage Breast Cancer",2024-09-01,everolimus,True,['Novartis'],0,USA,22,8,0,4,1,1,1,1,0,0,0,1,0,0,0,0
"Neoadjuvant Chemotherapy With Oxaliplatin and Fluoropyrimidine Versus Upfront Surgery for Locally Advanced Colon Cancer: The Randomized, Phase III OPTICAL Trial",2024-09-01,oxaliplatin,False,[],0,China,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase I Study of Fianlimab, a Human Lymphocyte Activation Gene-3 (LAG-3) Monoclonal Antibody, in Combination With Cemiplimab in Advanced Melanoma",2024-08-20,fianlimab,True,"['Regeneron', 'Sanofi/Regeneron']",1,USA,32,27,15,7,2,2,1,1,0,1,1,0,1,0,1,0
Improved Survival With Adjuvant Cyclooxygenase 2 Inhibition in PIK3CA-Activated Stage III Colon Cancer: CALGB/SWOG 80702 (Alliance),2024-08-20,celecoxib,True,['Pfizer'],1,USA,22,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Sacituzumab Govitecan Versus Docetaxel for Previously Treated Advanced or Metastatic Nonâ€“Small Cell Lung Cancer: The Randomized, Open-Label Phase III EVOKE-01 Study",2024-08-20,sacituzumab govitecan,True,['Gilead Sciences'],1,Spain,18,7,3,3,0,0,0,1,0,0,0,1,0,0,0,0
"Lenvatinib Plus Pembrolizumab Versus Standard of Care for Previously Treated Metastatic Colorectal Cancer: Final Analysis of the Randomized, Open-Label, Phase III LEAP-017 Study",2024-08-20,lenvatinib,True,['Eisai'],1,Japan,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adjunctive Statistical Standardization of Adjuvant Estrogen Receptor and Progesterone Receptor in Canadian Cancer Trials Group MA.27 Postmenopausal Breast Cancer Trial of Exemestane Versus Anastrozole,2024-08-20,exemestane,False,['NanoString Technologies'],1,Canada,26,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bempegaldesleukin Plus Nivolumab Versus Sunitinib or Cabozantinib in Previously Untreated Advanced Clear Cell Renal Cell Carcinoma: A Phase III Randomized Study (PIVOT-09),2024-08-10,bempegaldesleukin,True,['Nektar'],1,USA,15,10,4,2,0,3,1,0,0,0,1,0,0,0,1,0
"Olanzapine Plus Triple Antiemetic Therapy for the Prevention of Carboplatin-Induced Nausea and Vomiting: A Randomized, Double-Blind, Placebo-Controlled Phase III Trial",2024-08-10,olanzapine,True,['Lilly'],0,Japan,29,4,0,0,1,2,1,0,0,0,0,0,1,0,0,0
Phase II Efficacy and Safety of 80 mg Osimertinib in Patients With Leptomeningeal Metastases Associated With Epidermal Growth Factor Receptor Mutationâ€“Positive Nonâ€“Small Cell Lung Cancer (BLOSSOM),2024-08-10,osimertinib,True,"['AstraZeneca/MedImmune', 'Daiichi Sankyo/Astra Zeneca', 'Daiichi Sankyo/AstraZeneca', 'AstraZeneca']",0,Republic of Korea,18,6,1,5,0,4,1,1,1,0,0,1,0,0,0,1
LACC Trial: Final Analysis on Overall Survival Comparing Open Versus Minimally Invasive Radical Hysterectomy for Early-Stage Cervical Cancer,2024-08-10,,False,[],1,USA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patient-Reported Outcomes From the Phase III HIMALAYA Study of Tremelimumab Plus Durvalumab in Unresectable Hepatocellular Carcinoma,2024-08-10,durvalumab,True,"['AstraZeneca/MedImmune', 'AstraZeneca']",1,Spain,16,14,4,7,2,4,1,1,0,0,1,1,1,0,0,0
Final Results of RIGHT Choice: Ribociclib Plus Endocrine Therapy Versus Combination Chemotherapy in Premenopausal Women With Clinically Aggressive Hormone Receptorâ€“Positive/Human Epidermal Growth Factor Receptor 2â€“Negative Advanced Breast Cancer,2024-08-10,ribociclib,True,"['Novartis', 'Sandoz-Novartis']",1,Taiwan,22,15,5,10,4,9,1,1,0,0,1,0,0,0,1,1
Phase I Trial of GD2.CART Cells Augmented With Constitutive Interleukin-7 Receptor for Treatment of High-Grade Pediatric CNS Tumors,2024-08-10,GD2.CARTs,False,[],0,USA,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minimal Residual Disease Status in Multiple Myeloma 1 Year After Autologous Hematopoietic Cell Transplantation and Lenalidomide Maintenance Are Associated With Long-Term Overall Survival,2024-08-10,lenalidomide,True,"['Bristol Myers Squibb', 'Bristol Myers Squibb/Celgene', 'BMS']",0,USA,23,7,0,3,1,1,1,0,0,0,1,0,0,0,0,0
"Randomized Phase III Study of Amcenestrant Plus Palbociclib Versus Letrozole Plus Palbociclib in Estrogen Receptorâ€“Positive, Human Epidermal Growth Factor Receptor 2â€“Negative Advanced Breast Cancer: Primary Results From AMEERA-5",2024-08-01,amcenestrant,True,"['Sanofi', 'sanofi', 'Patent for new drug developed by Sanofi']",1,Spain,16,11,6,3,0,1,0,1,0,0,0,1,0,0,0,0
Linvoseltamab for Treatment of Relapsed/Refractory Multiple Myeloma,2024-08-01,linvoseltamab,True,"['Regeneron', 'Sanofi/Regeneron', 'Multiple patents assigned to regeneron (no personal compensation related to patents above employment)']",1,USA,32,21,10,6,0,0,0,0,0,0,0,0,0,0,0,0
"Upfront Fluorouracil, Leucovorin, Oxaliplatin, and Irinotecan Plus Bevacizumab With or Without Atezolizumab for Patients With Metastatic Colorectal Cancer: Updated and Overall Survival Results of the ATEZOTRIBE Study",2024-08-01,atezolizumab,True,['Roche'],0,Italy,27,6,0,3,1,2,0,1,0,0,0,1,0,0,0,1
Efficacy and Safety of Taletrectinib in Chinese Patients With ROS1+ Nonâ€“Small Cell Lung Cancer: The Phase II TRUST-I Study,2024-08-01,Taletrectinib,True,"['AnHeart Therapeutics Ltd', 'AnHeart Therapeutics']",0,China,20,4,2,0,0,2,1,1,1,0,0,0,0,0,0,1
Impact of Propofol Exposure on Neurocognitive Outcomes in Children With High-Risk B ALL: A Children's Oncology Group Study,2024-08-01,propofol,False,[],0,Canada,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS Protective Effect of Selpercatinib in First-Line RET Fusion-Positive Advanced Nonâ€“Small Cell Lung Cancer,2024-07-20,selpercatinib,True,['Loxo'],1,France,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safety and Efficacy of CT041 in Patients With Refractory Metastatic Pancreatic Cancer: A Pooled Analysis of Two Early-Phase Trials,2024-07-20,CT041,True,"['CARsgen Therapeutics', 'CARsgen Therapeutics Co']",0,China,19,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Phase I/II Study of a Vascular Endothelial Growth Factor Receptor Vaccine in Patients With NF2-Related Schwannomatosis,2024-07-20,VEGFR1 and VEGFR2 peptide vaccine,True,['OncoTherapy Science'],0,Japan,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Phase I and Randomized Phase II Study of Ruxolitinib With Frontline Neoadjuvant Therapy in Advanced Ovarian Cancer: An NRG Oncology Group Study,2024-07-20,ruxolitinib,False,[],0,USA,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
